year;month;day;hour;temp_value;hum_value;central_heat_flow_value;central_heat_return_value;gas_value;radiator_input_value;radiator_output_value;obs_name;temp;dewPt;rh;pressure;wc;wdir;wspd
2017;11;23;15;16.6;598.0;55.5;57.5;4479.0;;;Edinburgh;2.77777777777777;34.0;87.0;29.165;31.0;250.0;8.0
2017;11;23;16;18.5;558.0;58.5;56.4;7167.0;;;Edinburgh;2.77777777777777;34.0;87.0;29.195;31.0;255.0;9.5
2017;11;23;17;19.4;527.0;57.9;55.7;7839.0;;;Edinburgh;2.5;34.0;90.0;29.255;30.0;245.0;9.0
2017;11;23;18;20.0;514.0;57.8;55.8;6383.0;;;Edinburgh;2.22222222222222;33.0;90.0;29.285;28.0;235.0;11.0
2017;11;23;19;20.5;516.0;58.3;56.5;9176.0;;;Edinburgh;2.77777777777777;34.0;87.0;29.33;29.0;240.0;13.0
2017;11;23;20;21.1;535.0;57.8;56.3;7277.0;;;Edinburgh;2.5;32.0;84.0;29.345;28.5;240.0;12.5
2017;11;23;21;21.3;499.0;58.5;57.0;8395.0;;;Edinburgh;2.22222222222222;32.0;87.0;29.39;28.0;235.0;12.0
2017;11;23;22;21.6;497.0;60.6;58.4;8397.0;;;Edinburgh;2.22222222222222;34.0;93.0;29.39;28.5;245.0;10.0
2017;11;23;23;21.3;497.0;46.4;45.2;784.0;;;Edinburgh;2.22222222222222;32.0;87.0;29.42;28.5;240.0;9.5
2017;11;24;0;20.3;522.0;28.8;28.2;;;;Edinburgh;1.11111111111111;32.0;93.0;29.42;26.0;245.0;9.0
2017;11;24;1;19.4;521.0;23.1;22.6;;;;Edinburgh;1.11111111111111;32.0;93.0;29.45;27.5;245.0;7.5
2017;11;24;2;18.9;526.0;20.6;20.4;;;;Edinburgh;0.555555555555555;31.0;93.0;29.45;31.0;260.0;4.0
2017;11;24;3;18.4;527.0;19.3;19.2;;;;Edinburgh;0.0;30.0;93.0;29.47;25.5;240.0;7.5
2017;11;24;4;18.1;531.0;18.6;18.6;;;;Edinburgh;0.555555555555555;31.0;93.0;29.47;27.0;255.0;7.0
2017;11;24;5;17.8;533.0;18.1;18.0;;;;Edinburgh;0.0;30.0;93.0;29.5;25.0;245.0;7.5
2017;11;24;6;17.5;534.0;17.7;17.6;;;;Edinburgh;-0.555555555555555;30.0;96.5;29.515;25.0;255.0;6.0
2017;11;24;7;17.3;535.0;20.7;19.8;2014.0;;;Edinburgh;0.0;30.0;93.0;29.53;25.0;245.0;8.0
2017;11;24;8;17.1;541.0;21.3;20.3;;;;Edinburgh;0.555555555555555;32.0;96.5;29.53;25.0;240.0;9.5
2017;11;24;9;16.8;538.0;27.3;20.0;6944.0;;;Edinburgh;1.11111111111111;32.0;93.0;29.53;26.5;245.0;9.0
2017;11;24;10;16.7;541.0;35.0;31.6;112.0;;;Edinburgh;2.22222222222222;32.0;87.0;29.56;28.5;245.0;9.5
2017;11;24;11;16.5;540.0;23.6;22.5;;;;Edinburgh;2.77777777777777;34.0;87.0;29.56;28.5;225.0;15.0
2017;11;24;12;16.3;538.0;19.2;18.6;;;;Edinburgh;2.5;34.0;90.0;29.56;28.0;235.0;13.5
2017;11;24;13;16.2;539.0;17.5;17.0;;;;Edinburgh;2.77777777777777;35.0;90.0;29.56;29.0;240.0;14.0
2017;11;24;14;16.3;565.0;26.9;25.2;1568.0;;;Edinburgh;2.77777777777777;34.0;87.0;29.56;28.0;225.0;16.5
2017;11;24;15;16.3;550.0;22.5;21.3;;;;Edinburgh;2.22222222222222;32.0;87.0;29.56;27.5;240.0;13.0
2017;11;24;16;16.3;538.0;37.8;34.9;7054.0;;;Edinburgh;1.66666666666666;32.0;90.0;29.56;27.0;245.0;10.5
2017;11;24;17;17.8;518.0;57.7;56.0;7725.0;;;Edinburgh;1.11111111111111;32.0;93.0;29.56;25.0;235.0;12.0
2017;11;24;18;18.9;501.0;57.5;55.9;7726.0;;;Edinburgh;1.11111111111111;32.0;93.0;29.59;25.0;230.0;11.5
2017;11;24;19;19.6;503.0;57.7;56.4;7503.0;;;Edinburgh;1.11111111111111;32.0;93.0;29.59;26.5;225.0;8.5
2017;11;24;20;20.2;503.0;56.9;56.1;7279.0;;;Edinburgh;1.11111111111111;31.0;90.0;29.59;24.5;245.0;13.0
2017;11;24;21;20.5;494.0;57.1;56.4;6943.0;;;Edinburgh;1.11111111111111;30.0;87.0;29.59;26.0;250.0;9.5
2017;11;24;22;20.8;485.0;57.3;56.6;6494.0;;;Edinburgh;1.11111111111111;32.0;93.0;29.59;24.5;250.0;14.0
2017;11;24;23;20.5;484.0;42.7;41.8;1119.0;;;Edinburgh;1.11111111111111;32.0;93.0;29.62;26.0;250.0;9.0
2017;11;25;0;19.3;506.0;26.9;25.9;;;;Edinburgh;1.66666666666666;32.0;90.0;29.59;27.5;250.0;9.5
2017;11;25;1;18.5;513.0;21.9;21.3;;;;Edinburgh;0.555555555555555;31.0;93.0;29.59;26.0;240.0;7.5
2017;11;25;2;17.9;520.0;19.8;19.2;;;;Edinburgh;0.0;30.0;93.0;29.59;26.0;235.0;6.5
2017;11;25;3;17.5;523.0;18.6;18.2;;;;Edinburgh;0.555555555555555;31.0;93.0;29.59;26.5;250.0;7.5
2017;11;25;4;17.2;525.0;17.9;17.5;;;;Edinburgh;1.11111111111111;32.0;93.0;29.62;28.5;260.0;6.5
2017;11;25;5;16.9;526.0;17.4;17.0;;;;Edinburgh;0.0;31.0;96.5;29.62;25.5;245.0;7.5
2017;11;25;6;16.7;527.0;16.9;16.7;;;;Edinburgh;0.0;30.0;93.0;29.62;24.5;250.0;8.5
