year;month;day;hour;temp_value;hum_value;central_heat_flow_value;central_heat_return_value;gas_value;radiator_input_value;radiator_output_value;obs_name;temp;dewPt;rh;pressure;wc;wdir;wspd
2017;9;14;20;25.7;423.0;40.4;41.1;948.0;;;Edinburgh;10.0;45.5;84.5;29.68;50.0;255.0;5.5
2017;9;14;21;23.2;478.0;29.6;32.5;;;;Edinburgh;10.0;46.0;87.0;29.71;50.0;245.0;6.5
2017;9;14;22;22.4;498.0;26.3;28.7;;;;Edinburgh;10.0;46.0;87.0;29.71;50.0;250.0;6.0
2017;9;14;23;22.0;507.0;24.9;26.5;;;;Edinburgh;10.5555555555555;46.0;84.5;29.71;51.0;250.0;6.5
2017;9;15;0;21.7;513.0;24.1;25.1;;;;Edinburgh;10.0;46.0;87.0;29.74;50.0;255.0;5.0
2017;9;15;1;21.5;517.0;23.6;24.3;;;;Edinburgh;12.2222222222222;46.0;77.0;29.74;54.0;285.0;5.0
2017;9;15;2;21.4;520.0;23.2;23.7;;;;Edinburgh;10.5555555555555;47.0;88.0;29.755;51.0;255.0;5.5
2017;9;15;3;21.2;522.0;23.0;23.2;;;;Edinburgh;11.1111111111111;45.5;79.0;29.755;52.0;;3.0
2017;9;15;4;21.0;524.0;22.5;22.9;;;;Edinburgh;7.5;43.0;90.0;29.755;42.5;225.0;5.5
2017;9;15;5;20.9;525.0;22.4;22.5;;;;Edinburgh;7.22222222222222;43.0;93.0;29.77;42.0;240.0;5.0
2017;9;15;6;20.8;530.0;22.3;22.2;316.0;;;Edinburgh;7.77777777777777;44.0;90.0;29.77;44.0;265.0;5.5
2017;9;15;7;21.5;502.0;39.6;34.4;22752.0;;;Edinburgh;10.5555555555555;45.5;82.0;29.785;51.0;245.0;8.0
2017;9;15;8;23.3;472.0;39.8;43.0;1264.0;;;Edinburgh;12.2222222222222;45.0;72.0;29.8;54.0;265.0;6.0
2017;9;15;9;21.9;486.0;28.9;32.9;;;;Edinburgh;13.8888888888888;45.0;63.0;29.8;57.0;290.0;7.0
2017;9;15;10;21.6;479.0;27.3;28.0;948.0;;;Edinburgh;13.8888888888888;45.5;65.0;29.8;57.0;290.0;7.0
2017;9;15;11;21.4;479.0;26.9;25.4;;;;Edinburgh;13.8888888888888;45.5;65.0;29.8;57.0;295.0;7.0
2017;9;15;12;21.2;490.0;24.9;24.4;;;;Edinburgh;14.4444444444444;45.0;61.0;29.8;58.0;295.0;7.5
2017;9;15;13;21.2;463.0;24.0;23.9;;;;Edinburgh;15.0;45.0;59.0;29.8;59.0;320.0;7.5
2017;9;15;14;20.9;448.0;23.5;23.6;;;;Edinburgh;14.4444444444444;46.5;65.5;29.8;58.0;310.0;5.0
2017;9;15;15;20.8;497.0;24.5;23.1;948.0;;;Edinburgh;13.8888888888888;47.0;69.5;29.8;57.0;290.0;4.5
2017;9;15;16;21.0;510.0;31.2;27.4;11376.0;;;Edinburgh;13.8888888888888;46.0;67.0;29.8;57.0;310.0;5.5
2017;9;15;17;24.7;418.0;65.1;60.4;28440.0;;;Edinburgh;13.3333333333333;46.0;69.5;29.8;56.0;330.0;7.0
2017;9;15;18;26.3;380.0;62.4;58.7;21172.0;;;Edinburgh;12.5;45.5;72.0;29.8;54.5;320.0;5.5
2017;9;15;19;25.0;388.0;40.0;43.1;;;;Edinburgh;12.5;45.0;69.5;29.83;54.5;320.0;6.0
2017;9;15;20;23.2;427.0;30.8;33.9;632.0;;;Edinburgh;11.6666666666666;43.0;69.0;29.83;53.0;330.0;7.0
2017;9;15;21;22.5;440.0;27.8;29.1;316.0;;;Edinburgh;10.0;42.0;73.5;29.83;50.0;300.0;4.0
2017;9;15;22;22.1;458.0;25.7;26.6;;;;Edinburgh;10.5555555555555;43.0;73.5;29.83;51.0;310.0;4.5
2017;9;15;23;21.8;471.0;24.2;25.2;;;;Edinburgh;10.0;43.0;76.0;29.83;50.0;310.0;5.0
2017;9;16;0;21.6;479.0;23.6;24.3;;;;Edinburgh;10.0;43.0;76.0;29.83;50.0;320.0;5.0
2017;9;16;1;21.5;484.0;23.1;23.7;;;;Edinburgh;9.44444444444444;41.0;73.5;29.83;48.0;340.0;4.5
2017;9;16;2;21.3;486.0;22.7;23.2;;;;Edinburgh;8.88888888888889;41.0;76.0;29.83;46.0;335.0;5.5
2017;9;16;3;21.1;489.0;22.5;22.7;;;;Edinburgh;8.33333333333333;41.0;78.5;29.8;46.0;340.0;4.0
2017;9;16;4;20.9;493.0;22.1;22.4;;;;Edinburgh;7.77777777777777;41.0;81.0;29.8;46.0;;3.0
2017;9;16;5;20.8;497.0;22.0;22.1;;;;Edinburgh;6.11111111111111;39.0;87.0;29.8;39.0;245.0;6.5
2017;9;16;6;20.7;488.0;21.6;21.8;;;;Edinburgh;6.11111111111111;40.0;90.0;29.8;39.0;245.0;6.0
2017;9;16;7;20.6;491.0;22.5;21.5;1896.0;;;Edinburgh;7.5;42.0;87.0;29.8149999999999;42.0;250.0;7.0
2017;9;16;8;20.6;531.0;28.1;21.3;948.0;;;Edinburgh;8.33333333333333;45.0;90.0;29.83;44.5;245.0;6.5
2017;9;16;9;20.6;542.0;26.3;21.7;948.0;;;Edinburgh;11.1111111111111;45.0;76.0;29.8149999999999;52.0;275.0;5.0
2017;9;16;10;20.5;535.0;25.6;22.0;1264.0;;;Edinburgh;11.1111111111111;45.0;76.0;29.8;52.0;300.0;5.0
2017;9;16;11;20.4;517.0;24.6;22.1;;;;Edinburgh;12.2222222222222;44.0;69.5;29.8;54.0;295.0;5.5
2017;9;16;12;22.6;435.0;57.2;51.5;34128.0;;;Edinburgh;12.2222222222222;45.0;72.0;29.8;54.0;295.0;6.5
2017;9;16;13;25.8;379.0;65.9;62.1;26544.0;;;Edinburgh;11.1111111111111;47.0;85.0;29.8;52.0;280.0;4.0
2017;9;16;14;27.5;366.0;63.9;60.5;19592.0;;;Edinburgh;11.6666666666666;48.0;85.0;29.8;53.0;;2.0
2017;9;16;15;26.1;394.0;45.6;44.4;6320.0;;;Edinburgh;11.6666666666666;49.0;88.0;29.8;53.0;70.0;5.5
2017;9;16;16;24.8;451.0;37.0;35.9;2844.0;;;Edinburgh;12.5;49.0;82.0;29.8;54.5;;2.5
2017;9;16;17;24.2;460.0;37.3;35.7;8216.0;;;Edinburgh;12.2222222222222;48.0;82.0;29.8;54.0;75.0;4.0
2017;9;16;18;24.3;458.0;36.4;35.1;8532.0;;;Edinburgh;11.1111111111111;48.0;88.0;29.83;52.0;50.0;3.5
2017;9;16;19;24.4;464.0;35.7;34.5;6004.0;;;Edinburgh;10.0;47.0;90.5;29.845;50.0;10.0;1.0
2017;9;16;20;23.8;473.0;28.8;29.7;;;;Edinburgh;8.33333333333333;45.5;93.0;29.86;47.0;340.0;1.5
2017;9;16;21;23.1;488.0;25.6;26.9;;;;Edinburgh;7.77777777777777;46.0;100.0;29.86;46.0;10.0;1.0
2017;9;16;22;22.7;495.0;24.2;25.1;;;;Edinburgh;8.88888888888889;46.0;93.5;29.86;48.0;20.0;2.0
2017;9;16;23;22.5;496.0;23.4;24.1;;;;Edinburgh;10.0;46.0;87.0;29.86;50.0;;1.5
2017;9;17;0;22.3;498.0;22.8;23.3;;;;Edinburgh;8.88888888888889;46.0;93.0;29.86;48.0;;2.0
2017;9;17;1;22.1;501.0;22.5;22.7;;;;Edinburgh;8.88888888888889;45.0;87.0;29.89;48.0;;1.5
2017;9;17;2;21.9;504.0;22.1;22.3;;;;Edinburgh;8.88888888888889;45.0;87.0;29.89;47.0;250.0;3.0
2017;9;17;3;21.8;505.0;22.0;22.0;;;;Edinburgh;8.88888888888889;45.0;87.0;29.89;47.0;265.0;4.0
2017;9;17;4;21.6;506.0;21.7;21.8;;;;Edinburgh;7.77777777777777;45.0;93.0;29.89;46.0;250.0;3.0
2017;9;17;5;21.4;508.0;21.5;21.5;;;;Edinburgh;7.77777777777777;45.0;93.0;29.89;44.0;235.0;5.0
2017;9;17;6;21.3;506.0;21.4;21.3;;;;Edinburgh;8.33333333333333;45.0;90.0;29.905;46.0;255.0;4.0
2017;9;17;7;21.1;518.0;23.9;21.0;2528.0;;;Edinburgh;9.44444444444444;46.0;90.0;29.92;49.0;250.0;4.0
2017;9;17;8;21.1;535.0;25.6;21.0;316.0;;;Edinburgh;10.5555555555555;46.0;84.5;29.92;51.0;240.0;5.0
2017;9;17;9;21.0;521.0;22.8;21.3;316.0;;;Edinburgh;11.6666666666666;48.0;85.0;29.92;53.0;245.0;4.0
2017;9;17;10;20.9;540.0;25.0;21.2;2844.0;;;Edinburgh;12.5;48.0;79.5;29.92;54.5;240.0;4.0
2017;9;17;11;20.9;539.0;26.4;21.3;;;;Edinburgh;13.8888888888888;48.0;72.0;29.92;57.0;360.0;4.0
2017;9;17;12;21.2;541.0;23.4;21.8;;;;Edinburgh;15.0;50.0;72.0;29.92;59.0;50.0;7.0
2017;9;17;13;21.0;529.0;24.2;21.5;1896.0;;;Edinburgh;15.0;50.0;72.0;29.92;59.0;65.0;9.0
2017;9;17;14;20.7;535.0;24.5;21.6;;;;Edinburgh;15.0;52.0;77.0;29.92;59.0;60.0;8.5
2017;9;17;15;20.7;565.0;24.1;21.7;2212.0;;;Edinburgh;15.0;52.0;77.0;29.92;59.0;70.0;10.0
2017;9;17;16;20.5;570.0;26.1;21.7;316.0;;;Edinburgh;13.3333333333333;53.0;88.0;29.92;56.0;65.0;10.5
2017;9;17;17;20.5;572.0;24.5;21.9;;;;Edinburgh;12.7777777777777;52.0;88.0;29.94;55.0;70.0;9.5
2017;9;17;18;20.5;579.0;23.2;22.0;;;;Edinburgh;12.5;52.0;91.0;29.94;54.5;70.0;8.5
2017;9;17;19;20.4;581.0;23.2;21.8;316.0;;;Edinburgh;12.2222222222222;51.0;91.0;29.97;54.0;70.0;8.5
2017;9;17;20;20.4;568.0;22.6;21.8;;;;Edinburgh;12.2222222222222;51.0;91.0;29.97;54.0;60.0;9.0
2017;9;17;21;20.2;563.0;21.9;21.6;;;;Edinburgh;12.2222222222222;49.0;85.0;29.97;54.0;60.0;12.5
2017;9;17;22;20.0;563.0;21.5;21.3;;;;Edinburgh;11.6666666666666;46.0;79.5;29.97;53.0;55.0;8.0
2017;9;17;23;19.9;562.0;21.2;21.1;;;;Edinburgh;11.1111111111111;46.0;82.0;29.97;52.0;40.0;6.0
2017;9;18;0;19.8;562.0;21.0;20.9;;;;Edinburgh;10.5555555555555;45.5;81.5;29.97;51.0;40.0;2.5
2017;9;18;1;19.8;562.0;21.0;20.8;;;;Edinburgh;10.5555555555555;45.5;81.5;29.97;51.0;35.0;2.5
2017;9;18;2;19.6;561.0;20.5;20.5;;;;Edinburgh;10.0;45.0;82.0;29.94;50.0;80.0;2.0
2017;9;18;3;19.6;561.0;20.5;20.4;;;;Edinburgh;10.0;45.0;82.0;29.94;50.0;260.0;2.5
2017;9;18;4;19.5;561.0;20.5;20.3;;;;Edinburgh;8.88888888888889;45.5;90.0;29.94;46.0;250.0;5.0
2017;9;18;5;19.4;560.0;20.3;20.1;;;;Edinburgh;9.44444444444444;47.0;93.5;29.94;49.0;260.0;3.0
2017;9;18;6;19.3;558.0;20.0;20.0;;;;Edinburgh;9.44444444444444;46.0;90.0;29.955;48.0;270.0;5.5
2017;9;18;7;19.3;567.0;20.4;19.8;316.0;;;Edinburgh;10.0;48.0;94.0;29.97;50.0;260.0;4.0
2017;9;18;8;19.4;571.0;24.0;19.7;2844.0;;;Edinburgh;11.1111111111111;47.0;85.0;29.97;52.0;260.0;6.0
2017;9;18;9;19.5;570.0;22.7;19.9;316.0;;;Edinburgh;12.2222222222222;47.0;79.5;29.94;54.0;330.0;4.5
2017;9;18;10;19.5;544.0;22.3;20.2;;;;Edinburgh;12.2222222222222;46.0;77.0;29.94;54.0;315.0;5.5
2017;9;18;11;19.4;525.0;21.2;20.5;;;;Edinburgh;12.2222222222222;45.0;72.0;29.94;54.0;10.0;4.0
2017;9;18;12;19.2;522.0;20.6;20.3;;;;Edinburgh;12.7777777777777;44.0;65.0;29.94;55.0;;2.5
2017;9;18;13;19.1;522.0;20.1;20.0;;;;Edinburgh;12.7777777777777;45.0;67.0;29.94;55.0;55.0;5.0
2017;9;18;14;19.0;510.0;22.9;20.0;1264.0;;;Edinburgh;12.7777777777777;45.0;67.0;29.94;55.0;;2.0
2017;9;18;15;19.2;552.0;23.7;20.4;1580.0;;;Edinburgh;12.7777777777777;45.0;67.0;29.94;55.0;;2.0
2017;9;18;16;19.4;631.0;27.9;20.3;2212.0;;;Edinburgh;12.5;45.5;72.0;29.94;54.5;10.0;1.0
2017;9;18;17;19.5;580.0;34.8;25.1;19276.0;;;Edinburgh;12.2222222222222;45.5;74.5;29.94;54.0;130.0;2.5
2017;9;18;18;24.3;443.0;65.4;61.0;29704.0;;;Edinburgh;10.5555555555555;45.5;81.5;29.94;51.0;300.0;1.5
2017;9;18;19;26.9;406.0;65.9;61.6;30652.0;;;Edinburgh;10.0;46.0;87.0;29.955;50.0;;1.5
2017;9;18;20;26.6;419.0;51.9;53.0;6952.0;;;Edinburgh;9.44444444444444;45.0;84.5;29.97;49.0;;3.0
2017;9;18;21;23.6;471.0;31.7;37.3;;;;Edinburgh;7.22222222222222;43.0;93.0;29.97;45.0;245.0;2.0
2017;9;18;22;22.3;493.0;26.3;30.6;;;;Edinburgh;6.11111111111111;41.0;93.0;29.97;41.5;255.0;3.5
2017;9;18;23;21.7;500.0;24.0;26.7;;;;Edinburgh;5.0;40.0;96.5;29.97;39.5;240.0;3.0
2017;9;19;0;21.4;502.0;23.0;24.6;;;;Edinburgh;4.44444444444444;40.0;100.0;29.97;40.0;250.0;1.5
2017;9;19;1;21.1;502.0;22.3;23.3;;;;Edinburgh;4.44444444444444;38.0;93.0;29.97;40.0;140.0;1.0
2017;9;19;2;20.9;502.0;21.9;22.4;;;;Edinburgh;2.77777777777777;36.5;96.5;29.955;37.0;230.0;0.5
2017;9;19;3;20.7;501.0;21.5;21.9;;;;Edinburgh;2.77777777777777;37.0;100.0;29.94;37.0;290.0;1.5
2017;9;19;4;20.6;501.0;21.1;21.4;;;;Edinburgh;2.77777777777777;37.0;100.0;29.94;37.0;210.0;2.0
2017;9;19;5;20.4;500.0;22.6;20.9;948.0;;;Edinburgh;3.88888888888888;39.0;100.0;29.94;37.5;245.0;3.0
2017;9;19;6;20.2;501.0;23.4;20.7;948.0;;;Edinburgh;5.0;41.0;100.0;29.94;39.0;270.0;4.5
2017;9;19;7;20.1;490.0;24.5;20.8;;;;Edinburgh;8.05555555555555;44.0;90.0;29.955;43.5;265.0;5.5
2017;9;19;8;20.2;485.0;22.4;21.1;;;;Edinburgh;10.5555555555555;46.0;84.5;29.94;51.0;255.0;6.5
2017;9;19;9;20.5;492.0;21.6;21.3;;;;Edinburgh;12.5;48.0;79.5;29.94;54.5;250.0;8.5
2017;9;19;10;20.5;504.0;21.8;20.9;1896.0;;;Edinburgh;12.7777777777777;50.0;82.0;29.94;55.0;330.0;4.0
2017;9;19;11;20.3;508.0;23.7;20.9;;;;Edinburgh;13.8888888888888;46.0;67.0;29.94;57.0;265.0;9.0
2017;9;19;12;20.3;500.0;21.7;21.0;;;;Edinburgh;15.5555555555555;46.0;61.0;29.94;60.0;265.0;9.0
2017;9;19;13;20.4;488.0;21.4;21.0;;;;Edinburgh;15.5555555555555;45.5;59.0;29.93;60.0;260.0;11.5
2017;9;19;14;20.3;484.0;21.0;21.0;;;;Edinburgh;16.1111111111111;46.0;59.0;29.92;61.0;260.0;9.5
2017;9;19;15;20.1;493.0;22.1;20.9;1264.0;;;Edinburgh;15.5555555555555;45.5;59.0;29.905;60.0;260.0;9.0
2017;9;19;16;20.1;520.0;24.1;20.9;;;;Edinburgh;15.5555555555555;46.0;61.0;29.89;60.0;260.0;7.0
2017;9;19;17;20.4;514.0;33.9;27.9;19908.0;;;Edinburgh;13.3333333333333;46.0;69.5;29.89;56.0;255.0;4.0
2017;9;19;18;25.7;410.0;65.2;61.4;24016.0;;;Edinburgh;12.7777777777777;47.0;74.5;29.89;55.0;240.0;3.0
2017;9;19;19;27.6;393.0;66.1;61.8;21804.0;;;Edinburgh;12.7777777777777;49.0;79.5;29.89;55.0;230.0;5.5
2017;9;19;20;27.7;390.0;57.3;56.8;9796.0;;;Edinburgh;12.2222222222222;48.0;82.0;29.89;54.0;230.0;7.5
2017;9;19;21;24.8;443.0;35.4;39.9;948.0;;;Edinburgh;10.5555555555555;47.0;87.5;29.875;51.0;230.0;6.5
