,year,month,day,hour,temp_value,hum_value,central_heat_flow_value,central_heat_return_value,gas_value,radiator_input_value,radiator_output_value
0,2018,3,12,14,27.5,375.0,,,,,
1,2018,3,12,15,27.9,355.0,36.5,36.1,448.0,,
2,2018,3,12,16,27.4,353.0,60.6,55.7,9515.0,,
3,2018,3,12,17,27.9,339.0,57.5,53.2,5709.0,,
4,2018,3,12,18,28.0,333.0,57.9,53.5,5487.0,,
5,2018,3,12,19,28.0,333.0,50.2,48.9,2126.0,,
6,2018,3,12,20,27.2,343.0,49.9,47.6,4479.0,,
7,2018,3,12,21,27.3,332.0,58.0,52.8,7949.0,,
8,2018,3,12,22,27.5,321.0,55.9,53.9,4478.0,,
9,2018,3,12,23,27.7,308.0,58.0,54.7,4811.0,,
10,2018,3,13,0,27.4,318.0,48.1,47.0,2911.0,,
11,2018,3,13,1,26.2,331.0,35.9,36.7,,,
12,2018,3,13,2,25.1,340.0,31.3,31.3,112.0,,
13,2018,3,13,3,24.4,342.0,29.6,29.2,,,
14,2018,3,13,4,23.9,344.0,28.8,28.2,,,
15,2018,3,13,5,23.6,344.0,28.3,27.6,,,
16,2018,3,13,6,23.6,341.0,46.0,42.0,7052.0,,
17,2018,3,13,7,25.1,318.0,59.4,55.5,6606.0,,
18,2018,3,13,8,25.8,309.0,59.0,53.1,7725.0,,
19,2018,3,13,9,26.3,300.0,58.7,55.0,7163.0,,
20,2018,3,13,10,27.9,283.0,58.4,53.7,6606.0,,
21,2018,3,13,11,29.2,280.0,61.1,58.1,4143.0,,
22,2018,3,13,12,27.4,297.0,64.3,59.9,4591.0,,
23,2018,3,13,13,27.0,303.0,64.4,60.1,4368.0,,
24,2018,3,13,14,26.8,305.0,64.9,60.5,4479.0,,
25,2018,3,13,15,26.8,304.0,64.2,59.8,4364.0,,
26,2018,3,13,16,26.7,305.0,64.1,59.6,4476.0,,
27,2018,3,13,17,26.7,313.0,64.3,59.4,4477.0,,
28,2018,3,13,18,27.6,306.0,64.5,60.1,4142.0,,
29,2018,3,13,19,30.3,275.0,63.1,60.1,3022.0,,
30,2018,3,13,20,30.9,268.0,63.8,59.7,3694.0,,
31,2018,3,13,21,31.6,259.0,62.7,60.0,3246.0,,
32,2018,3,13,22,31.2,270.0,63.9,60.7,3581.0,,
33,2018,3,13,23,31.2,264.0,56.0,55.9,2240.0,,
34,2018,3,14,0,28.5,283.0,42.4,44.1,,,
35,2018,3,14,1,26.4,300.0,33.2,33.2,,,
36,2018,3,14,2,25.3,307.0,30.0,29.7,223.0,,
37,2018,3,14,3,24.6,311.0,28.7,28.2,,,
38,2018,3,14,4,24.0,314.0,28.0,27.4,,,
39,2018,3,14,5,23.5,316.0,27.6,27.0,112.0,,
40,2018,3,14,6,23.4,317.0,38.6,36.2,3583.0,,
41,2018,3,14,7,24.4,310.0,62.5,55.9,7837.0,,
42,2018,3,14,8,25.5,301.0,58.8,53.9,5823.0,,
43,2018,3,14,9,25.9,298.0,59.8,56.4,4254.0,,
44,2018,3,14,10,28.7,268.0,57.3,54.6,3246.0,,
45,2018,3,14,11,30.0,256.0,55.3,52.5,3694.0,,
46,2018,3,14,12,31.3,245.0,55.5,52.1,4140.0,,
47,2018,3,14,13,30.8,253.0,52.3,50.8,2350.0,,
48,2018,3,14,14,30.8,255.0,49.2,46.4,4255.0,,
49,2018,3,14,15,31.0,254.0,59.2,58.3,4142.0,,
50,2018,3,14,16,30.7,262.0,49.9,49.3,3357.0,,
51,2018,3,14,17,31.7,257.0,51.1,50.4,3023.0,,
52,2018,3,14,18,33.2,242.0,48.1,46.9,2463.0,,
53,2018,3,14,19,31.2,256.0,61.0,51.2,3360.0,,
54,2018,3,14,20,30.6,265.0,48.5,46.9,3134.0,,
55,2018,3,14,21,30.5,261.0,44.5,45.4,,,
56,2018,3,14,22,28.7,280.0,46.5,45.3,3575.0,,
57,2018,3,14,23,28.1,289.0,48.6,46.7,3469.0,,
58,2018,3,15,0,27.3,290.0,40.1,38.8,2909.0,,
59,2018,3,15,1,26.6,299.0,47.7,47.5,1790.0,,
60,2018,3,15,2,26.4,301.0,54.8,51.8,2576.0,,
61,2018,3,15,4,26.4,296.0,50.5,48.7,3133.0,,
62,2018,3,15,5,26.3,293.0,55.4,50.2,6267.0,,
63,2018,3,15,6,26.3,291.0,51.8,52.3,3135.0,,
64,2018,3,15,7,26.2,288.0,49.2,48.4,3248.0,,
65,2018,3,15,8,26.4,284.0,64.1,58.9,7724.0,,
66,2018,3,15,9,27.4,277.0,66.7,60.9,6491.0,,
67,2018,3,15,10,27.9,273.0,66.2,60.2,6606.0,,
68,2018,3,15,11,27.9,277.0,66.0,60.7,6044.0,,
69,2018,3,15,12,27.9,288.0,66.4,61.0,6606.0,,
70,2018,3,15,13,27.9,290.0,65.5,60.9,5261.0,,
71,2018,3,15,14,27.8,292.0,56.8,55.1,2911.0,,
