year;month;day;hour;obs_name;temp;dewPt;rh;pressure;wc;wdir;wspd
2016;1;2;0;Edinburgh;6.66666666666666;37.0;78.5;29.515;36.5;110.0;15.0
2016;1;2;1;Edinburgh;7.22222222222222;39.0;81.0;29.485;38.5;115.0;13.5
2016;1;2;2;Edinburgh;7.22222222222222;39.0;81.0;29.47;38.0;100.0;13.0
2016;1;2;3;Edinburgh;7.22222222222222;40.0;84.0;29.45;38.0;95.0;14.0
2016;1;2;4;Edinburgh;7.22222222222222;40.0;84.0;29.435;38.5;85.0;13.0
2016;1;2;5;Edinburgh;7.22222222222222;41.0;87.0;29.42;38.0;80.0;14.0
2016;1;2;6;Edinburgh;7.22222222222222;41.0;87.0;29.405;38.5;95.0;13.0
2016;1;2;7;Edinburgh;7.77777777777777;42.0;84.0;29.42;42.0;60.0;8.5
2016;1;2;8;Edinburgh;7.77777777777777;43.0;87.0;29.42;40.5;110.0;13.0
2016;1;2;9;Edinburgh;7.22222222222222;43.0;93.0;29.42;39.0;120.0;11.0
2016;1;2;10;Edinburgh;7.77777777777777;43.0;87.0;29.42;41.5;115.0;9.5
2016;1;2;11;Edinburgh;8.33333333333333;43.0;84.5;29.435;42.0;110.0;11.0
2016;1;2;12;Edinburgh;8.88888888888889;44.0;84.5;29.42;42.5;95.0;13.5
2016;1;2;13;Edinburgh;8.88888888888889;43.0;82.0;29.42;44.5;85.0;9.0
2016;1;2;14;Edinburgh;7.77777777777777;43.0;87.0;29.42;42.0;80.0;9.5
2016;1;2;15;Edinburgh;7.77777777777777;43.0;87.0;29.42;42.5;55.0;8.0
2016;1;2;16;Edinburgh;7.77777777777777;44.0;90.0;29.435;43.0;45.0;7.0
2016;1;2;17;Edinburgh;7.77777777777777;45.0;93.0;29.45;43.0;75.0;7.5
2016;1;2;18;Edinburgh;7.77777777777777;45.0;93.0;29.45;42.5;70.0;7.5
2016;1;2;19;Edinburgh;7.77777777777777;45.0;93.0;29.42;42.5;70.0;7.5
2016;1;2;20;Edinburgh;7.77777777777777;45.0;93.0;29.42;42.0;75.0;8.5
2016;1;2;21;Edinburgh;7.77777777777777;45.0;93.0;29.405;41.0;90.0;11.0
2016;1;2;22;Edinburgh;7.77777777777777;45.0;93.0;29.39;41.0;90.0;10.0
2016;1;2;23;Edinburgh;7.77777777777777;45.0;93.0;29.39;41.0;100.0;10.0
2016;1;3;0;Edinburgh;7.77777777777777;45.0;93.0;29.375;41.5;100.0;10.5
2016;1;3;1;Edinburgh;7.77777777777777;44.0;90.0;29.36;42.0;100.0;9.0
2016;1;3;2;Edinburgh;7.77777777777777;45.0;93.0;29.345;41.0;105.0;11.0
2016;1;3;3;Edinburgh;7.77777777777777;43.0;87.0;29.33;40.5;105.0;13.5
2016;1;3;4;Edinburgh;7.77777777777777;43.0;87.0;29.285;40.5;110.0;13.5
2016;1;3;5;Edinburgh;7.77777777777777;43.0;87.0;29.255;39.5;110.0;16.0
2016;1;3;6;Edinburgh;7.77777777777777;43.0;87.0;29.24;39.5;110.0;16.5
2016;1;3;7;Edinburgh;7.22222222222222;41.0;87.0;29.195;37.0;100.0;16.5
2016;1;3;8;Edinburgh;7.22222222222222;41.0;87.0;29.165;37.0;110.0;17.0
2016;1;3;9;Edinburgh;7.22222222222222;41.0;87.0;29.1349999999999;37.0;100.0;19.0
2016;1;3;10;Edinburgh;7.22222222222222;41.0;87.0;29.105;37.5;90.0;16.5
2016;1;3;11;Edinburgh;7.22222222222222;41.0;87.0;29.045;37.0;90.0;17.0
2016;1;3;12;Edinburgh;7.22222222222222;41.0;87.0;28.99;38.0;80.0;15.0
2016;1;3;13;Edinburgh;7.5;41.0;84.0;28.95;39.0;85.0;14.5
2016;1;3;14;Edinburgh;7.77777777777777;43.0;87.0;28.92;41.0;85.0;11.5
2016;1;3;15;Edinburgh;7.5;42.0;87.0;28.89;39.5;80.0;12.0
2016;1;3;16;Edinburgh;7.77777777777777;40.0;78.5;28.89;40.5;100.0;12.5
2016;1;3;17;Edinburgh;7.5;41.0;84.0;28.875;39.0;95.0;15.0
2016;1;3;18;Edinburgh;7.22222222222222;42.0;90.0;28.86;38.5;70.0;12.0
2016;1;3;19;Edinburgh;7.5;42.0;87.0;28.845;39.0;90.0;14.0
2016;1;3;20;Edinburgh;7.22222222222222;41.0;87.0;28.83;38.5;85.0;13.5
2016;1;3;21;Edinburgh;7.22222222222222;42.0;90.0;28.8;38.0;80.0;13.5
2016;1;3;22;Edinburgh;7.22222222222222;42.0;90.0;28.8;38.0;80.0;14.5
2016;1;3;23;Edinburgh;7.22222222222222;41.0;87.0;28.77;37.5;90.0;16.0
2016;1;4;0;Edinburgh;7.22222222222222;43.0;93.0;28.77;37.0;90.0;16.5
2016;1;4;1;Edinburgh;7.22222222222222;43.0;93.0;28.77;37.5;100.0;15.0
2016;1;4;2;Edinburgh;7.22222222222222;43.0;93.0;28.8;40.0;110.0;8.5
2016;1;4;3;Edinburgh;7.22222222222222;41.0;87.0;28.83;40.0;110.0;9.0
2016;1;4;4;Edinburgh;7.22222222222222;41.0;87.0;28.83;39.5;90.0;10.5
