year;month;day;hour;temp_value;hum_value;central_heat_flow_value;central_heat_return_value;gas_value;radiator_input_value;radiator_output_value;obs_name;temp;dewPt;rh;pressure;wc;wdir;wspd
2018;6;26;3;22.6;469.0;25.9;25.0;;20.9;22.0;Edinburgh;11.11111111111111;52.0;100.0;30.18;52.0;100.0;5.0
2018;6;26;3;22.6;469.0;25.9;25.0;;20.9;22.0;Edinburgh;11.11111111111111;52.0;100.0;30.18;52.0;;3.0
2018;6;26;4;22.5;472.0;25.4;24.9;316.0;20.7;22.0;Edinburgh;11.11111111111111;52.0;100.0;30.18;52.0;;3.0
2018;6;26;4;22.5;472.0;25.4;24.9;316.0;20.7;22.0;Edinburgh;11.11111111111111;52.0;100.0;30.18;52.0;60.0;5.0
2018;6;26;5;22.3;475.0;25.6;24.9;;20.4;21.6;Edinburgh;12.22222222222222;52.0;94.0;30.21;54.0;100.0;5.0
2018;6;26;5;22.3;475.0;25.6;24.9;;20.4;21.6;Edinburgh;12.22222222222222;52.0;94.0;30.21;54.0;60.0;5.0
2018;6;26;6;22.2;479.0;25.1;24.5;;20.3;21.5;Edinburgh;11.11111111111111;52.0;100.0;30.21;52.0;30.0;3.0
2018;6;26;6;22.2;479.0;25.1;24.5;;20.3;21.5;Edinburgh;12.22222222222222;52.0;94.0;30.21;54.0;50.0;5.0
2018;6;26;7;22.1;501.0;25.4;24.6;948.0;20.2;21.5;Edinburgh;11.11111111111111;52.0;100.0;30.21;52.0;40.0;5.0
2018;6;26;7;22.1;501.0;25.4;24.6;948.0;20.2;21.5;Edinburgh;12.22222222222222;52.0;94.0;30.21;54.0;;2.0
2018;6;26;8;22.0;490.0;25.9;24.9;;20.4;21.5;Edinburgh;12.77777777777778;54.0;94.0;30.21;55.0;;2.0
2018;6;26;8;22.0;490.0;25.9;24.9;;20.4;21.5;Edinburgh;12.77777777777778;54.0;94.0;30.21;55.0;;3.0
2018;6;26;9;21.9;481.0;25.2;24.5;316.0;20.6;21.5;Edinburgh;13.88888888888889;54.0;88.0;30.21;57.0;;2.0
2018;6;26;9;21.9;481.0;25.2;24.5;316.0;20.6;21.5;Edinburgh;15.0;54.0;82.0;30.21;59.0;;3.0
2018;6;26;10;21.9;480.0;25.3;24.5;;20.9;21.5;Edinburgh;16.11111111111111;55.0;82.0;30.21;61.0;40.0;5.0
2018;6;26;10;21.9;480.0;25.3;24.5;;20.9;21.5;Edinburgh;17.22222222222222;55.0;77.0;30.21;63.0;60.0;5.0
2018;6;26;11;22.1;481.0;25.0;24.5;316.0;21.2;21.5;Edinburgh;17.22222222222222;55.0;77.0;30.18;63.0;40.0;7.0
2018;6;26;12;22.3;482.0;25.3;24.5;;21.6;21.5;Edinburgh;17.22222222222222;55.0;77.0;30.18;63.0;40.0;7.0
2018;6;26;12;22.3;482.0;25.3;24.5;;21.6;21.5;Edinburgh;17.22222222222222;55.0;77.0;30.18;63.0;30.0;8.0
2018;6;26;13;22.6;486.0;25.1;24.5;;21.9;21.9;Edinburgh;17.22222222222222;55.0;77.0;30.18;63.0;40.0;10.0
2018;6;26;13;22.6;486.0;25.1;24.5;;21.9;21.9;Edinburgh;17.22222222222222;55.0;77.0;30.18;63.0;40.0;9.0
2018;6;26;14;22.9;488.0;25.4;24.9;;22.1;22.0;Edinburgh;16.11111111111111;55.0;82.0;30.18;61.0;40.0;9.0
2018;6;26;14;22.9;488.0;25.4;24.9;;22.1;22.0;Edinburgh;16.11111111111111;55.0;82.0;30.18;61.0;40.0;12.0
2018;6;26;15;23.2;489.0;25.3;25.0;316.0;22.3;22.3;Edinburgh;17.22222222222222;57.0;82.0;30.15;63.0;50.0;10.0
2018;6;26;16;23.4;488.0;25.7;25.0;;22.4;22.5;Edinburgh;17.22222222222222;55.0;77.0;30.15;63.0;40.0;12.0
2018;6;26;16;23.4;488.0;25.7;25.0;;22.4;22.5;Edinburgh;15.0;55.0;88.0;30.18;59.0;50.0;10.0
2018;6;26;17;23.6;483.0;25.4;25.0;316.0;22.5;22.5;Edinburgh;13.88888888888889;55.0;94.0;30.18;57.0;50.0;10.0
2018;6;26;17;23.6;483.0;25.4;25.0;316.0;22.5;22.5;Edinburgh;13.88888888888889;54.0;88.0;30.18;57.0;50.0;9.0
2018;6;26;18;23.5;484.0;26.1;25.2;2528.0;22.5;22.5;Edinburgh;13.88888888888889;54.0;88.0;30.18;57.0;60.0;12.0
2018;6;26;18;23.5;484.0;26.1;25.2;2528.0;22.5;22.5;Edinburgh;12.77777777777778;54.0;94.0;30.21;55.0;60.0;9.0
2018;6;26;19;23.5;515.0;29.4;26.6;30968.0;22.3;22.5;Edinburgh;12.77777777777778;54.0;94.0;30.21;55.0;50.0;6.0
2018;6;26;19;23.5;515.0;29.4;26.6;30968.0;22.3;22.5;Edinburgh;12.22222222222222;54.0;100.0;30.21;54.0;60.0;8.0
2018;6;26;20;24.0;563.0;29.0;27.4;3160.0;22.1;22.5;Edinburgh;12.22222222222222;54.0;100.0;30.21;54.0;60.0;7.0
2018;6;26;20;24.0;563.0;29.0;27.4;3160.0;22.1;22.5;Edinburgh;12.22222222222222;54.0;100.0;30.21;54.0;60.0;8.0
2018;6;26;21;24.0;512.0;27.3;26.6;632.0;21.8;22.2;Edinburgh;12.22222222222222;54.0;100.0;30.21;54.0;60.0;8.0
2018;6;26;21;24.0;512.0;27.3;26.6;632.0;21.8;22.2;Edinburgh;12.22222222222222;54.0;100.0;30.21;54.0;70.0;8.0
2018;6;26;22;23.7;504.0;27.7;26.6;948.0;21.9;22.0;Edinburgh;12.22222222222222;54.0;100.0;30.21;54.0;60.0;7.0
2018;6;26;22;23.7;504.0;27.7;26.6;948.0;21.9;22.0;Edinburgh;12.22222222222222;54.0;100.0;30.21;54.0;60.0;9.0
2018;6;26;23;23.6;498.0;28.4;27.0;2528.0;21.7;21.9;Edinburgh;12.22222222222222;54.0;100.0;30.21;54.0;60.0;8.0
2018;6;26;23;23.6;498.0;28.4;27.0;2528.0;21.7;21.9;Edinburgh;12.22222222222222;54.0;100.0;30.21;54.0;50.0;7.0
2018;6;27;0;23.3;491.0;27.1;26.4;;21.3;21.5;Edinburgh;12.22222222222222;54.0;100.0;30.21;54.0;70.0;8.0
2018;6;27;0;23.3;491.0;27.1;26.4;;21.3;21.5;Edinburgh;12.22222222222222;54.0;100.0;30.21;54.0;70.0;6.0
2018;6;27;1;22.8;489.0;26.2;25.6;;20.9;21.4;Edinburgh;11.11111111111111;52.0;100.0;30.21;52.0;40.0;6.0
2018;6;27;1;22.8;489.0;26.2;25.6;;20.9;21.4;Edinburgh;11.11111111111111;52.0;100.0;30.21;52.0;50.0;6.0
2018;6;27;2;22.4;494.0;26.0;25.4;;20.5;21.4;Edinburgh;11.11111111111111;52.0;100.0;30.21;52.0;60.0;7.0
2018;6;27;2;22.4;494.0;26.0;25.4;;20.5;21.4;Edinburgh;11.11111111111111;52.0;100.0;30.21;52.0;60.0;6.0
2018;6;27;3;22.1;511.0;25.5;25.0;316.0;20.3;21.4;Edinburgh;11.11111111111111;52.0;100.0;30.21;52.0;50.0;7.0
